importance_rank,topic_id,importance_score,article_coverage,article_count,topic_size,topic_size_share,interpretability,topic_words
1,0,0.6905742574102782,0.32798165137614677,143,2189,0.15160329662719024,0.5326899210085256,"cochin, tab, chinensis, folio, sinensis, var, genus, breadth, chusan, infra"
2,1,0.671000800796454,0.38073394495412843,166,1664,0.11524343791121269,0.5382734520884727,"coal, limestone, mile, left bank, right bank, gorge, shore, sandstone, tide, navigable"
3,2,0.6082285453422914,0.4013761467889908,175,1225,0.08483967033728097,0.5349489193549439,"altar, marble, pillars, pagodas, terrace, architecture, towers, monuments, offerings, coffin"
4,4,0.480110117853727,0.3256880733944954,142,792,0.054851444005817575,0.5373839843518196,"kwo, rebels, eldest son, eunuch, an-shih, wang an-shih, annam, rebel, generals, defeat"
5,21,0.40731723653819923,0.17889908256880735,78,305,0.021123346492139344,0.5791416466006394,"thou, thy, hell, sins, creator, yima, hells, brightness, demon, deus"
6,3,0.4064992238668723,0.1926605504587156,84,868,0.060114966410416235,0.5471371582100275,"treaty, garnier, tong-king, treaties, commissioners, kweiliang, mandarins, negotiations, americans, audience"
7,9,0.37533645988345055,0.19954128440366972,87,597,0.04134635362559734,0.5490454841921636,"destiny, ultimate, taoism, immortality, holy men, immaterial, plato, senses, cosmic, tse"
8,10,0.37521723291664566,0.23394495412844038,102,562,0.03892236304453217,0.5413354298371997,"road shanghai, honorary, branch asiatic, election, hon, society's, s'hai, robert, list members, histories"
9,30,0.33477356377020323,0.022935779816513763,10,115,0.007964540480642704,0.6087236859699506,"tungus, goldi, northern tungus, reindeer, amur, shamanism, complex, amur river, orotchis, pal"
10,23,0.32792562993121316,0.08486238532110092,37,240,0.0166216496987326,0.5834401359863818,"mohammed, prophet, moslem, moslems, islam, koran, mecca, mosque, jews, medina"
11,11,0.31746011314388967,0.14220183486238533,62,310,0.02146963086086294,0.5610218321533921,"great drought, tls, likin, land-tax, taels year, hkiang, catties, tax, ch'wan, revenue"
12,26,0.31125066862435463,0.12844036697247707,56,197,0.013643604127709675,0.56847509543547,"vols, bithe, road shanghai, manchu chinese, vide wylie, bithe vols, libraries, vols large, svo, der gabelentz"
13,25,0.3097676686699964,0.0389908256880734,17,129,0.008934136713068773,0.5958677766602792,"magnetic, magnetism, terrestrial, terrestrial magnetism, periodical, hemisphere, axis, nucleus, dip, attraction"
14,6,0.308582000477918,0.0963302752293578,42,380,0.02631761202299328,0.5673349504489152,"mint, obverse, coin, tael, coinage, annam, minor currency, annam minor, dollar, obverse reverse"
15,7,0.2827027407791755,0.1834862385321101,80,452,0.03130410693261306,0.5318716454892185,"wares, pottery, bronzes, porcelains, painting, chinese art, bronze, chinese porcelain, potteries, artistic"
16,20,0.2683851161369187,0.16055045871559634,70,299,0.02070780524967103,0.5413047036765611,"teachings, chu hsi, meh, chai, human nature, confucianists, micius, ssu-ma, disciple, yao shun"
17,12,0.2681890806990496,0.1811926605504587,79,400,0.027702749497887664,0.530575692255248,"classifier, tones, shuo, corean, vowels, ideographic, elementary characters, elementary, k'ang hsi, vowel"
18,27,0.26316068889006483,0.09862385321100918,43,145,0.010042246692984279,0.5642798313779941,"eunuchs, great officer, mencius reformers, reformers china, reformers, hospital, avoided, avoidance, exogamy, avoiding"
19,14,0.2576143219933808,0.14908256880733944,65,324,0.022439227093289008,0.539853968407258,"cycle, lunar, solar, eclipses, jupiter, equinox, solstice, astronomical, zodiac, asterisms"
20,19,0.23210133484435147,0.1444954128440367,63,274,0.018976383406053052,0.5356694888740331,"migration, migrations, south america, tibetans, philippines, lamaism, aryan, anthropological, immigrants, lhasa"
21,16,0.2238652165587615,0.08944954128440367,39,333,0.023062538956991483,0.5452388809836757,"tai-y, fut, elle, tait, concubine, femme, madame, vous, ouang, avait"
22,17,0.21664496016653975,0.10779816513761468,47,286,0.01980746589098968,0.5403122123486763,"chinese law, witchcraft, penalty, law practice, offence, infanticide, offences, penal, district magistrate, robbery"
23,18,0.21506069639953243,0.11467889908256881,50,220,0.015236512223838216,0.5412182400624187,"family law, law chinese, exogamy, patria, marry, contract, bride, widow, husband's, marriages"
24,24,0.2004193859548836,0.11009174311926606,48,132,0.00914190733430293,0.5422996220455624,"kabaran, iii iii, yukan, tze, heen, mun, tsz, keang, itinerary, yeh"
25,8,0.19115097674965928,0.10091743119266056,44,535,0.037052427453424755,0.521898632459726,"tom, western asia, central western, mohammedan, medieval geography, history central, turkish, notices medieval, uigurs, samarcand"
26,22,0.18752021125486143,0.0389908256880734,17,133,0.00921116420804765,0.5576962291362322,"pawn, games, cannon, chess, file, rook, moves, knight, adversary, diagram"
27,15,0.16634382268331896,0.045871559633027525,20,197,0.013643604127709675,0.54605455089075,"temperature, eastern asia, vapour, latitude, spring summer, celsius, minimum, humidity, hkiang, maximum"
28,29,0.16503735701391067,0.07110091743119266,31,106,0.0073412286169402315,0.5432694052024015,"vegetation, agricole, carte, sahara, carte agricole, grazing, cultures, glaciers, agricole rale, rale l'empire"
29,13,0.15994961653185472,0.07339449541284404,32,217,0.015028741602604059,0.5355439988555026,"chinese musical, musical instruments, holes, diameter, inches long, pipe, drum, inches diameter, pipes, gong"
30,32,0.15676154781264648,0.0481651376146789,21,113,0.007826026733153265,0.5466259935820537,"airs, drama, actor, musical instruments, actors, chinese respecting, mei, ming huang, stone drums, hsuan wang"
31,28,0.11798139695697392,0.09862385321100918,43,159,0.011011842925410346,0.5184880832256819,"savages, garments, women wear, men wear, taiga, waist, petticoats, anduri, orotchi, pepos"
32,31,0.08680525739170107,0.0481651376146789,21,226,0.01565205346630653,0.5192791092548328,"l'on, leurs, ses, fait, guild, quelques, ceux, que l'on, temps, elles"
33,5,0.05970797751882726,0.052752293577981654,23,315,0.021815915229586536,0.5051831063366118,"aug, feb, mar, nov dec, jan feb, jan, july aug, aug sept, dec, sept oct"
